lattice_type,active_height_cm,pin_pitch_cm,fuel_radius_cm,clad_outer_radius_cm,u235_enrichment,fuel_material,boron_ppm,control_rods_inserted,simulation_time_sec,k_inf_std_dev,k_inf
Hexagonal,140.0,1.38,0.38,0.45,0.0281,UO2-Gd2O3,935.7,0,15.03,0.0022096818892493797,1.0880303044473068
Hexagonal,140.0,1.38,0.38,0.45,0.0229,UO2-Gd2O3,327.8,1,11.41,0.0018745907760132777,0.7474530346802745
Hexagonal,140.0,1.38,0.38,0.45,0.0261,UO2-Gd2O3,55.9,0,15.55,0.0021454484663120206,1.3209974378882658
Square,241.3,1.25984,0.39218,0.4572,0.0361,UO2,851.1,0,10.07,0.001747104472932654,1.2974668052504508
Hexagonal,140.0,1.38,0.38,0.45,0.0269,UO2-Gd2O3,245.1,1,10.94,0.001939802168694347,0.8188079870669809
Square,200.0,1.25984,0.39218,0.4572,0.0302,UO2-Gd2O3,246.6,0,14.53,0.0018565615903517482,1.114268216562573
Hexagonal,140.0,1.38,0.38,0.45,0.0427,UO2-Gd2O3,1403.3,1,11.88,0.002399368459487884,0.8387413282992895
Hexagonal,140.0,1.38,0.38,0.45,0.036,UO2-Gd2O3,992.9,1,13.74,0.0016333740099556194,0.8287045208651729
Square,200.0,1.25984,0.39218,0.4572,0.022,UO2-Gd2O3,196.0,1,10.93,0.002397793384987821,0.6335047436583069
Hexagonal,140.0,1.38,0.38,0.45,0.0437,UO2-Gd2O3,1098.0,1,10.75,0.0018095393384249814,0.8793956078325766
Hexagonal,140.0,1.38,0.38,0.45,0.0226,UO2-Gd2O3,350.7,0,15.63,0.001865986371251958,1.1598664819372524
Hexagonal,140.0,1.38,0.38,0.45,0.0481,UO2-Gd2O3,827.1,0,11.5,0.0024438315265767636,1.291925482491094
Hexagonal,140.0,1.38,0.38,0.45,0.0443,UO2-Gd2O3,991.4,1,10.86,0.0026260057310490696,0.8974037975493973
Hexagonal,140.0,1.38,0.38,0.45,0.0392,UO2,52.0,0,13.18,0.0027320029878180893,1.446590000570582
Hexagonal,140.0,1.38,0.38,0.45,0.0212,UO2-Gd2O3,681.9,0,12.19,0.0020186005773448917,1.0417810851490898
Square,241.3,1.25984,0.39218,0.4572,0.0223,UO2,181.3,1,9.61,0.002451390820316304,0.7772738692845158
Square,200.0,1.25984,0.39218,0.4572,0.0223,UO2,1406.9,0,13.25,0.002289778686507547,1.0652328641147317
Square,365.76,1.25984,0.39218,0.4572,0.033,UO2,943.2,1,9.68,0.002555269563282862,0.8504160852007588
Square,365.76,1.25984,0.39218,0.4572,0.0481,UO2,333.7,1,9.46,0.002414695002000638,0.9979076653794835
Square,241.3,1.25984,0.39218,0.4572,0.0457,UO2-Gd2O3,1173.0,1,13.79,0.002076392649814745,0.8295492784286329
Hexagonal,140.0,1.38,0.38,0.45,0.0363,UO2-Gd2O3,1066.7,1,10.77,0.001505630742230861,0.8155972776377065
Square,200.0,1.25984,0.39218,0.4572,0.0215,UO2-Gd2O3,418.1,1,11.41,0.001503402074207085,0.6158643776179235
Hexagonal,140.0,1.38,0.38,0.45,0.0297,UO2-Gd2O3,1363.5,0,14.28,0.0025884332524164205,1.015595500987476
Hexagonal,140.0,1.38,0.38,0.45,0.0399,UO2-Gd2O3,717.5,0,13.23,0.0026829220652559577,1.2631134360519867
Square,241.3,1.25984,0.39218,0.4572,0.0427,UO2-Gd2O3,799.7,1,11.45,0.0019324712266768622,0.8221878224517403
Hexagonal,140.0,1.38,0.38,0.45,0.0217,UO2-Gd2O3,1331.5,1,13.95,0.0013703677959639473,0.614470271782033
Hexagonal,140.0,1.38,0.38,0.45,0.0491,UO2-Gd2O3,908.4,0,13.68,0.002441078997558351,1.2826728239856449
Square,200.0,1.25984,0.39218,0.4572,0.0479,UO2,191.2,0,11.37,0.0024869484382429637,1.4484931071920863
Hexagonal,140.0,1.38,0.38,0.45,0.028,UO2-Gd2O3,41.4,0,17.9,0.0024023010218470024,1.3515958435888782
Hexagonal,140.0,1.38,0.38,0.45,0.0322,UO2-Gd2O3,189.2,1,13.89,0.0018343248086789138,0.893817296203161
Square,241.3,1.25984,0.39218,0.4572,0.0232,UO2-Gd2O3,740.1,1,16.77,0.00178193626858822,0.6294533111269447
Square,365.76,1.25984,0.39218,0.4572,0.0282,UO2,1075.6,0,12.07,0.0020734258205035673,1.1876977270765068
Square,241.3,1.25984,0.39218,0.4572,0.0224,UO2,584.1,1,14.29,0.0017264647289512336,0.7554626314796261
Hexagonal,140.0,1.38,0.38,0.45,0.034,UO2-Gd2O3,298.3,0,13.56,0.0027923519047475453,1.3208810691088637
Hexagonal,140.0,1.38,0.38,0.45,0.02,UO2,206.9,0,13.48,0.001982795958027886,1.1706971875287002
Square,365.76,1.25984,0.39218,0.4572,0.0377,UO2-Gd2O3,420.5,0,17.2,0.0021344480451943424,1.163743047200237
Square,200.0,1.25984,0.39218,0.4572,0.0298,UO2,308.5,1,11.24,0.003127536254351928,0.8562660538716887
Hexagonal,140.0,1.38,0.38,0.45,0.0217,UO2,985.6,0,15.99,0.0022221680565464785,0.974752226310118
Hexagonal,140.0,1.38,0.38,0.45,0.0428,UO2,244.7,1,11.11,0.002323086843922048,0.984904975459427
Hexagonal,140.0,1.38,0.38,0.45,0.0295,UO2,389.8,0,11.44,0.002134687992821627,1.2506852173564469
Hexagonal,140.0,1.38,0.38,0.45,0.0312,UO2-Gd2O3,1284.9,0,16.8,0.002169011158983155,1.0456593044070006
Hexagonal,140.0,1.38,0.38,0.45,0.0394,UO2,90.0,0,10.86,0.002494120120924864,1.4324311535162115
Hexagonal,140.0,1.38,0.38,0.45,0.0325,UO2,796.6,1,10.31,0.0021827507489223783,0.8104236964447041
Square,241.3,1.25984,0.39218,0.4572,0.0467,UO2,565.9,0,13.54,0.002425236583502817,1.40028788385363
Square,200.0,1.25984,0.39218,0.4572,0.0371,UO2-Gd2O3,197.8,1,11.39,0.0014451815570486405,0.8034195569821312
Square,365.76,1.25984,0.39218,0.4572,0.037,UO2,968.1,1,9.35,0.002056289337977097,0.8824840264054209
Square,365.76,1.25984,0.39218,0.4572,0.0201,UO2-Gd2O3,1271.1,1,13.91,0.001523665454767929,0.5591263046259494
Hexagonal,140.0,1.38,0.38,0.45,0.0499,UO2,320.0,0,10.28,0.002092325002246761,1.426320877263167
